"time","inertia.w","lossyGear.phi_a","der(inertia.w)","der(lossyGear.phi_a)","der(emf.phi)","emf.phi","emf.tau","emf.v","emf.w","ground.p.i","ground.p.v","inertia.a","inertia.flange_a.tau","lossyGear.a_a","lossyGear.eta_mf1","lossyGear.eta_mf2","lossyGear.flange_a.tau","lossyGear.interpolation_result[1,1]","lossyGear.interpolation_result[1,2]","lossyGear.interpolation_result[1,3]","lossyGear.interpolation_result[1,4]","lossyGear.lossPower","lossyGear.phi_b","lossyGear.phi_support","lossyGear.quadrant1","lossyGear.quadrant1_p","lossyGear.quadrant2","lossyGear.quadrant2_p","lossyGear.quadrant3","lossyGear.quadrant3_m","lossyGear.quadrant4","lossyGear.quadrant4_m","lossyGear.sa","lossyGear.tauLoss","lossyGear.tauLossMax","lossyGear.tauLossMax_p","lossyGear.tauLossMin","lossyGear.tauLossMin_m","lossyGear.tau_bf1","lossyGear.tau_bf2","lossyGear.tau_bf_a","lossyGear.tau_eta","lossyGear.tau_eta_m","lossyGear.tau_eta_p","resistor.LossPower","resistor.R_actual","resistor.i","resistor.v","torque.phi_support","torque2.phi_support","torque2.tau","lossyGear.mode","lossyGear.ideal","lossyGear.locked","lossyGear.startBackward","lossyGear.startForward","lossyGear.tau_aPos","constantVoltage.i","constantVoltage.n.i","constantVoltage.n.v","constantVoltage.p.i","emf.fixed.flange.tau","emf.flange.phi","emf.flange.tau","emf.i","emf.internalSupport.flange.tau","emf.internalSupport.tau","emf.n.i","emf.n.v","emf.p.i","emf.p.v","emf.tauElectrical","inertia.flange_a.phi","inertia.flange_b.phi","inertia.flange_b.tau","inertia.phi","lossyGear.flange_a.phi","lossyGear.flange_b.phi","lossyGear.flange_b.tau","lossyGear.w_a","ramp.y","resistor.n.i","resistor.n.v","resistor.p.i","torque.flange.phi","torque2.flange.phi","torque2.flange.tau","lossyGear.tau_etaPos"
0,0,0,9200,0,0,0,-0.0102,0,0,0,0,9200,0.0092,9200,0.9,0.9,0,0.9,0.9,0,0,0,0,0,0,0,0,0,0,0,-0,-0,9200,0,0,0,-0,0,0,0,-0,0,0,0,9,4,1.5,6,0,0,0,0,0,0,0,1,1,-1.5,1.5,0,-1.5,-0.0102,0,-0.0102,1.5,0.0102,0.0102,-1.5,0,1.5,0,0.0102,0,0,-0,0,0,0,0,0,0,-1.5,0,1.5,0,0,-0,1
1.086956522877493e-14,1.0000000001536e-10,7.685943274951585e-21,9199.999999998838,1.0000000001536e-10,1.0000000001536e-10,7.685943274951585e-21,-0.01019999999999884,6.800000001044478e-13,1.0000000001536e-10,0,0,9199.999999998838,0.009199999999998845,9199.999999998838,0.9,0.9,6.356470894020425e-18,0.9,0.9,0,0,6.356470894996778e-29,4.045233302606097e-22,0,6.356470894020424e-19,6.356470894020424e-19,-7.062745437800476e-19,-7.062745437800476e-19,6.356470894020424e-19,6.356470894020424e-19,-7.062745437800476e-19,-7.062745437800476e-19,9199.999999998838,6.356470894020425e-19,6.356470894020424e-19,6.356470894020424e-19,-7.062745437800476e-19,-7.062745437800476e-19,0,0,-0,6.356470894020425e-18,6.356470894020425e-18,6.356470894020425e-18,8.999999999997959,4,1.49999999999983,5.99999999999932,0,0,-1.086956522877493e-16,0,0,0,0,1,1,-1.49999999999983,1.49999999999983,0,-1.49999999999983,-0.01019999999999884,7.685943274951585e-21,-0.01019999999999884,1.49999999999983,0.01019999999999884,0.01019999999999884,-1.49999999999983,0,1.49999999999983,6.800000001044478e-13,0.01019999999999884,7.685943274951585e-21,7.685943274951585e-21,-6.356470894020425e-18,7.685943274951585e-21,7.685943274951585e-21,4.045233302606097e-22,-1.086956522877493e-16,1.0000000001536e-10,-1.086956522877493e-16,-1.49999999999983,6.800000001044478e-13,1.49999999999983,7.685943274951585e-21,4.045233302606097e-22,1.086956522877493e-16,1
1.086956522877493e-14,1.0000000001536e-10,7.685943274951585e-21,9199.999999998838,1.0000000001536e-10,1.0000000001536e-10,7.685943274951585e-21,-0.01019999999999884,6.800000001044478e-13,1.0000000001536e-10,0,0,9199.999999998838,0.009199999999998845,9199.999999998838,0.9,0.9,6.356470894020425e-18,0.9,0.9,0,0,6.356470894996778e-29,4.045233302606097e-22,0,6.356470894020424e-19,6.356470894020424e-19,-7.062745437800476e-19,-7.062745437800476e-19,6.356470894020424e-19,6.356470894020424e-19,-7.062745437800476e-19,-7.062745437800476e-19,9199.999999998838,6.356470894020425e-19,6.356470894020424e-19,6.356470894020424e-19,-7.062745437800476e-19,-7.062745437800476e-19,0,0,-0,6.356470894020425e-18,6.356470894020425e-18,6.356470894020425e-18,8.999999999997959,4,1.49999999999983,5.99999999999932,0,0,-1.086956522877493e-16,1,0,0,0,0,1,-1.49999999999983,1.49999999999983,0,-1.49999999999983,-0.01019999999999884,7.685943274951585e-21,-0.01019999999999884,1.49999999999983,0.01019999999999884,0.01019999999999884,-1.49999999999983,0,1.49999999999983,6.800000001044478e-13,0.01019999999999884,7.685943274951585e-21,7.685943274951585e-21,-6.356470894020425e-18,7.685943274951585e-21,7.685943274951585e-21,4.045233302606097e-22,-1.086956522877493e-16,1.0000000001536e-10,-1.086956522877493e-16,-1.49999999999983,6.800000001044478e-13,1.49999999999983,7.685943274951585e-21,4.045233302606097e-22,1.086956522877493e-16,1
0.002,18.1877722272659,0.01825762820854961,8988.57976240953,18.1877722272659,18.1877722272659,0.01825762820854961,-0.009989749353052805,0.1236768511454081,18.1877722272659,0,0,8988.57976240953,0.008989749353052804,8988.57976240953,0.9,0.9,1.169590643274854e-06,0.9,0.9,0,0,2.127224821902445e-06,0.0009609278004499796,0,1.169590643274854e-07,1.169590643274854e-07,-1.299545159194283e-07,-1.299545159194283e-07,1.169590643274854e-07,1.169590643274854e-07,-1.299545159194283e-07,-1.299545159194283e-07,8988.57976252649,1.169590643274854e-07,1.169590643274854e-07,1.169590643274854e-07,-1.299545159194283e-07,-1.299545159194283e-07,0,0,-0,1.169590643274854e-06,1.169590643274854e-06,1.169590643274854e-06,8.632793437441087,4,1.469080787213648,5.876323148854592,0,0,-2e-05,1,0,0,0,0,1,-1.469080787213648,1.469080787213648,0,-1.469080787213648,-0.009989749353052805,0.01825762820854961,-0.009989749353052805,1.469080787213648,0.009989749353052805,0.009989749353052805,-1.469080787213648,0,1.469080787213648,0.1236768511454081,0.009989749353052805,0.01825762820854961,0.01825762820854961,-1.169590643274854e-06,0.01825762820854961,0.01825762820854961,0.0009609278004499796,-2e-05,18.1877722272659,-2e-05,-1.469080787213648,0.1236768511454081,1.469080787213648,0.01825762820854961,0.0009609278004499796,2e-05,1
0.004,35.95754052204977,0.07247241482501238,8781.991650278555,35.95754052204977,35.95754052204977,0.07247241482501238,-0.009784330831565104,0.2445112755499384,35.95754052204977,0,0,8781.991650278555,0.008784330831565105,8781.991650278555,0.9,0.9,2.339181286549708e-06,0.9,0.9,0,0,8.411120589953167e-06,0.003814337622369073,0,2.339181286549707e-07,2.339181286549707e-07,-2.599090318388566e-07,-2.599090318388566e-07,2.339181286549707e-07,2.339181286549707e-07,-2.599090318388566e-07,-2.599090318388566e-07,8781.991650512473,2.339181286549709e-07,2.339181286549707e-07,2.339181286549707e-07,-2.599090318388566e-07,-2.599090318388566e-07,0,0,-0,2.339181286549708e-06,2.339181286549708e-06,2.339181286549708e-06,8.281412614317949,4,1.438872181112515,5.755488724450061,0,0,-4e-05,1,0,0,0,0,1,-1.438872181112515,1.438872181112515,0,-1.438872181112515,-0.009784330831565104,0.07247241482501238,-0.009784330831565104,1.438872181112515,0.009784330831565104,0.009784330831565104,-1.438872181112515,0,1.438872181112515,0.2445112755499384,0.009784330831565104,0.07247241482501238,0.07247241482501238,-2.339181286549708e-06,0.07247241482501238,0.07247241482501238,0.003814337622369073,-4e-05,35.95754052204977,-4e-05,-1.438872181112515,0.2445112755499384,1.438872181112515,0.07247241482501238,0.003814337622369073,4e-05,1
0.006,53.31886997619134,0.1618169297594448,8580.125091145401,53.31886997619134,53.31886997619134,0.1618169297594448,-0.009583633863075227,0.3625683158381011,53.31886997619134,0,0,8580.125091145401,0.008583633863075226,8580.125091145401,0.9,0.9,3.508771929824561e-06,0.9,0.9,0,0,1.870837543024256e-05,0.008516680513654989,0,3.508771929824561e-07,3.508771929824561e-07,-3.898635477582848e-07,-3.898635477582848e-07,3.508771929824561e-07,3.508771929824561e-07,-3.898635477582848e-07,-3.898635477582848e-07,8580.125091496278,3.508771929824559e-07,3.508771929824561e-07,3.508771929824561e-07,-3.898635477582848e-07,-3.898635477582848e-07,0,0,-0,3.508771929824561e-06,3.508771929824561e-06,3.508771929824561e-06,7.945158998398116,4,1.409357921040475,5.637431684161899,0,0,-6.000000000000001e-05,1,0,0,0,0,1,-1.409357921040475,1.409357921040475,0,-1.409357921040475,-0.009583633863075227,0.1618169297594448,-0.009583633863075227,1.409357921040475,0.009583633863075227,0.009583633863075227,-1.409357921040475,0,1.409357921040475,0.3625683158381011,0.009583633863075227,0.1618169297594448,0.1618169297594448,-3.508771929824561e-06,0.1618169297594448,0.1618169297594448,0.008516680513654989,-6.000000000000001e-05,53.31886997619134,-6.000000000000001e-05,-1.409357921040475,0.3625683158381011,1.409357921040475,0.1618169297594448,0.008516680513654989,6.000000000000001e-05,1
0.008,70.2810975191242,0.2854834801542673,8382.872150105824,70.2810975191242,70.2810975191242,0.2854834801542673,-0.009387550512678923,0.4779114631300446,70.2810975191242,0,0,8382.872150105824,0.008387550512678924,8382.872150105824,0.9,0.9,4.678362573099416e-06,0.9,0.9,0,0,3.28800456229821e-05,0.0150254463239088,0,4.678362573099415e-07,4.678362573099415e-07,-5.198180636777131e-07,-5.198180636777131e-07,4.678362573099415e-07,4.678362573099415e-07,-5.198180636777131e-07,-5.198180636777131e-07,8382.872150573661,4.678362573099418e-07,4.678362573099415e-07,4.678362573099415e-07,-5.198180636777131e-07,-5.198180636777131e-07,0,0,-0,4.678362573099416e-06,4.678362573099416e-06,4.678362573099416e-06,7.623365452257642,4,1.380522134217489,5.522088536869956,0,0,-8.000000000000001e-05,1,0,0,0,0,1,-1.380522134217489,1.380522134217489,0,-1.380522134217489,-0.009387550512678923,0.2854834801542673,-0.009387550512678923,1.380522134217489,0.009387550512678923,0.009387550512678923,-1.380522134217489,0,1.380522134217489,0.4779114631300446,0.009387550512678923,0.2854834801542673,0.2854834801542673,-4.678362573099416e-06,0.2854834801542673,0.2854834801542673,0.0150254463239088,-8.000000000000001e-05,70.2810975191242,-8.000000000000001e-05,-1.380522134217489,0.4779114631300446,1.380522134217489,0.2854834801542673,0.0150254463239088,8.000000000000001e-05,1
0.01,86.85334590407038,0.4426829005058498,8190.127368132572,86.85334590407038,86.85334590407038,0.4426829005058498,-0.009195975321348946,0.5906027521476785,86.85334590407038,0,0,8190.127368132572,0.008195975321348945,8190.127368132572,0.9,0.9,5.847953216374269e-06,0.9,0.9,0,0,5.079143035325756e-05,0.02329910002662368,0,5.847953216374268e-07,5.847953216374268e-07,-6.497725795971414e-07,-6.497725795971414e-07,5.847953216374268e-07,5.847953216374268e-07,-6.497725795971414e-07,-6.497725795971414e-07,8190.127368717367,5.847953216374272e-07,5.847953216374268e-07,5.847953216374268e-07,-6.497725795971414e-07,-6.497725795971414e-07,0,0,-0,5.847953216374269e-06,5.847953216374269e-06,5.847953216374269e-06,7.315394646268066,4,1.35234931196308,5.409397247852321,0,0,-0.0001,1,0,0,0,0,1,-1.35234931196308,1.35234931196308,0,-1.35234931196308,-0.009195975321348946,0.4426829005058498,-0.009195975321348946,1.35234931196308,0.009195975321348946,0.009195975321348946,-1.35234931196308,0,1.35234931196308,0.5906027521476785,0.009195975321348946,0.4426829005058498,0.4426829005058498,-5.847953216374269e-06,0.4426829005058498,0.4426829005058498,0.02329910002662368,-0.0001,86.85334590407038,-0.0001,-1.35234931196308,0.5906027521476785,1.35234931196308,0.4426829005058498,0.02329910002662368,0.0001,1
0.012,103.0445351389698,0.6326435638297668,8001.787629933859,103.0445351389698,103.0445351389698,0.6326435638297668,-0.009008805173793507,0.700702838944995,103.0445351389698,0,0,8001.787629933859,0.008008805173793508,8001.787629933859,0.9,0.9,7.017543859649123e-06,0.9,0.9,0,0,7.231195448348756e-05,0.03329702967525089,0,7.017543859649121e-07,7.017543859649121e-07,-7.797270955165696e-07,-7.797270955165696e-07,7.017543859649121e-07,7.017543859649121e-07,-7.797270955165696e-07,-7.797270955165696e-07,8001.787630635613,7.017543859649118e-07,7.017543859649121e-07,7.017543859649121e-07,-7.797270955165696e-07,-7.797270955165696e-07,0,0,-0,7.017543859649123e-06,7.017543859649123e-06,7.017543859649123e-06,7.020637600291409,4,1.324824290263751,5.299297161055005,0,0,-0.00012,1,0,0,0,0,1,-1.324824290263751,1.324824290263751,0,-1.324824290263751,-0.009008805173793507,0.6326435638297668,-0.009008805173793507,1.324824290263751,0.009008805173793507,0.009008805173793507,-1.324824290263751,0,1.324824290263751,0.700702838944995,0.009008805173793507,0.6326435638297668,0.6326435638297668,-7.017543859649123e-06,0.6326435638297668,0.6326435638297668,0.03329702967525089,-0.00012,103.0445351389698,-0.00012,-1.324824290263751,0.700702838944995,1.324824290263751,0.6326435638297668,0.03329702967525089,0.00012,1
0.014,118.8633703486106,0.8546124316495444,7817.752304267136,118.8633703486106,118.8633703486106,0.8546124316495444,-0.00882593943877006,0.8082709183705523,118.8633703486106,0,0,7817.752304267136,0.007825939438770059,7817.752304267136,0.9,0.9,8.187134502923977e-06,0.9,0.9,0,0,9.731504005149405e-05,0.04497960166576549,0,8.187134502923975e-07,8.187134502923975e-07,-9.096816114359979e-07,-9.096816114359979e-07,8.187134502923975e-07,8.187134502923975e-07,-9.096816114359979e-07,-9.096816114359979e-07,7817.752305085849,8.187134502923972e-07,8.187134502923975e-07,8.187134502923975e-07,-9.096816114359979e-07,-9.096816114359979e-07,0,0,-0,8.187134502923977e-06,8.187134502923977e-06,8.187134502923977e-06,6.738512714259237,4,1.297932270407362,5.191729081629448,0,0,-0.00014,1,0,0,0,0,1,-1.297932270407362,1.297932270407362,0,-1.297932270407362,-0.00882593943877006,0.8546124316495444,-0.00882593943877006,1.297932270407362,0.00882593943877006,0.00882593943877006,-1.297932270407362,0,1.297932270407362,0.8082709183705523,0.00882593943877006,0.8546124316495444,0.8546124316495444,-8.187134502923977e-06,0.8546124316495444,0.8546124316495444,0.04497960166576549,-0.00014,118.8633703486106,-0.00014,-1.297932270407362,0.8082709183705523,1.297932270407362,0.8546124316495444,0.04497960166576549,0.00014,1
